campus,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2016,-1,True,842,90.8551
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2017,0,True,842,91.4489
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2018,1,True,842,90.4988
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2019,2,True,842,91.8052
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2020,3,True,842,91.0926
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2021,4,True,842,92.5178
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2022,5,True,842,92.1615
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2023,6,True,842,88.8361
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2014,-3,True,2560,60.2734
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2015,-2,True,2560,58.3594
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2016,-1,True,2560,57.9297
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2017,0,True,2560,59.9219
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2018,1,True,2560,60.5469
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2019,2,True,2560,53.3984
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2020,3,True,2560,60.3906
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2021,4,True,2560,59.1016
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2022,5,True,2560,60.2344
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2023,6,True,2560,52.9297
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2014,-3,False,874,64.5309
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2015,-2,False,874,59.611
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2016,-1,False,874,61.8993
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2017,0,False,874,68.8787
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2018,1,False,874,68.1922
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2019,2,False,874,67.5057
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2020,3,False,874,69.6796
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2021,4,False,874,76.3158
