campus,site_id,tipo,zona,sensor,classe_id,classe,pct_inicio,pct_fim,delta_pp
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,landsat,2,vegetacao_rala,53.5564,51.6635,-1.8929
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,landsat,3,solo_exposto_obras,0.1721,0.153,-0.0191
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,landsat,4,construida_urbana,44.3977,45.6788,1.2811
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,landsat,5,agua,0.5545,0.7457,0.1912
clickip-manaus,clickip-manaus,tratamento,0-0.5km,s2,1,vegetacao_densa,1.907,2.0501,0.143
clickip-manaus,clickip-manaus,tratamento,0-0.5km,s2,2,vegetacao_rala,27.0381,19.4934,-7.5447
clickip-manaus,clickip-manaus,tratamento,0-0.5km,s2,3,solo_exposto_obras,17.8665,19.5948,1.7282
clickip-manaus,clickip-manaus,tratamento,0-0.5km,s2,4,construida_urbana,53.1824,58.8617,5.6794
clickip-manaus,clickip-manaus,tratamento,0-0.5km,s2,5,agua,0.006,0.0,-0.006
clickip-manaus,clickip-manaus,tratamento,0.5-1km,s2,1,vegetacao_densa,9.0345,9.1078,0.0733
clickip-manaus,clickip-manaus,tratamento,0.5-1km,s2,2,vegetacao_rala,20.04,16.0704,-3.9696
clickip-manaus,clickip-manaus,tratamento,0.5-1km,s2,3,solo_exposto_obras,10.227,10.6727,0.4457
clickip-manaus,clickip-manaus,tratamento,0.5-1km,s2,4,construida_urbana,60.6965,64.1391,3.4427
clickip-manaus,clickip-manaus,tratamento,0.5-1km,s2,5,agua,0.002,0.0099,0.0079
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,s2,1,vegetacao_densa,55.7528,82.0608,26.308
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,s2,2,vegetacao_rala,44.1643,17.8267,-26.3376
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,s2,3,solo_exposto_obras,0.0178,0.071,0.0533
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,s2,4,construida_urbana,0.0592,0.0414,-0.0178
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,s2,5,agua,0.0059,0.0,-0.0059
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,s2,1,vegetacao_densa,65.2922,69.5086,4.2164
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,s2,2,vegetacao_rala,33.9923,29.2955,-4.6968
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,s2,3,solo_exposto_obras,0.2728,0.2372,-0.0356
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,s2,4,construida_urbana,0.4388,0.9488,0.51
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,s2,5,agua,0.004,0.0099,0.0059
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,landsat,1,vegetacao_densa,51.7262,56.6838,4.9575
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,landsat,2,vegetacao_rala,26.7438,19.3686,-7.3753
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,landsat,3,solo_exposto_obras,0.5415,0.0677,-0.4739
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,landsat,4,construida_urbana,20.9884,23.6729,2.6845
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,landsat,5,agua,0.0,0.2072,0.2072
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,landsat,1,vegetacao_densa,39.5562,42.4473,2.8911
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,landsat,2,vegetacao_rala,21.4422,16.9854,-4.4568
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,landsat,3,solo_exposto_obras,0.4591,0.4607,0.0016
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,landsat,4,construida_urbana,38.466,39.9716,1.5056
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,landsat,5,agua,0.0765,0.135,0.0585
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,landsat,1,vegetacao_densa,24.6005,29.0525,4.4521
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,landsat,2,vegetacao_rala,62.6142,56.9635,-5.6507
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,landsat,3,solo_exposto_obras,0.0,0.0,0.0
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,landsat,4,construida_urbana,12.7854,13.984,1.1986
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,landsat,5,agua,0.0,0.0,0.0
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,landsat,1,vegetacao_densa,32.6304,35.602,2.9716
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,landsat,2,vegetacao_rala,56.7485,52.3965,-4.352
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,landsat,3,solo_exposto_obras,0.0192,0.0,-0.0192
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,landsat,4,construida_urbana,10.5828,11.7523,1.1695
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,landsat,5,agua,0.0192,0.2492,0.2301
everest-goiania,everest-goiania,tratamento,0-0.5km,landsat,1,vegetacao_densa,0.0,0.0571,0.0571
everest-goiania,everest-goiania,tratamento,0-0.5km,landsat,2,vegetacao_rala,5.9932,8.6187,2.6256
everest-goiania,everest-goiania,tratamento,0-0.5km,landsat,3,solo_exposto_obras,0.5708,0.0571,-0.5137
