campus_id,lat,lon,dist_km,l1_dw,ano_referencia
exp-odata-sp01,-23.275863263332027,-47.02769124249886,23,0.4309,2015
exp-odata-sp01,-23.22047781077109,-46.84672146026776,27,0.5595,2015
exp-odata-sp01,-23.333460320872245,-46.68609101796312,27,0.1077,2015
exp-odata-sp01,-23.391982109443838,-46.65956003255542,27,0.5932,2015
exp-odata-sp01,-23.689563764848465,-46.84647810863652,27,0.199,2015
exp-odata-sp01,-23.697852575937155,-46.91510647119537,27,0.6639,2015
exp-odata-sp01,-23.689563764848465,-46.98373483375417,27,0.5505,2015
exp-odata-sp01,-23.665265231578157,-47.04766172073721,27,0.116,2015
exp-odata-sp01,-23.62662114858345,-47.102512718508024,27,0.3839,2015
exp-odata-sp01,-23.57627630147411,-47.14454341469968,27,0.3502,2015
exp-odata-sp01,-23.51767280217151,-47.170896256256356,27,0.2436,2015
exp-odata-sp01,-23.454812501772178,-47.17979339140663,27,0.4211,2015
exp-odata-sp01,-23.391982109443838,-47.17065290983527,27,0.5237,2015
exp-odata-sp01,-23.333460320872245,-47.14412192442762,27,0.5541,2015
exp-odata-sp01,-23.283227093552533,-47.10202602045581,27,0.3641,2015
exp-odata-sp01,-23.2446946313351,-47.04724022525494,27,0.2968,2015
exp-odata-sp01,-23.185725970671054,-46.836610827911215,31,0.5527,2015
exp-odata-sp01,-23.31542082363874,-46.65219852394114,31,0.3995,2015
exp-odata-sp01,-23.382605502238693,-46.62172203625016,31,0.6527,2015
exp-odata-sp01,-23.72430608638717,-46.83629002964358,31,0.2643,2015
exp-odata-sp01,-23.733825440173906,-46.91510647119537,31,0.6736,2015
exp-odata-sp01,-23.72430608638717,-46.993922912747166,31,0.653,2015
exp-odata-sp01,-23.69640075765477,-47.06733570977781,31,0.3494,2015
exp-odata-sp01,-23.652022075201394,-47.130318281788334,31,0.2514,2015
exp-odata-sp01,-23.594209230430216,-47.17857004497995,31,0.4105,2015
exp-odata-sp01,-23.526916837630097,-47.20881169535414,31,0.3243,2015
exp-odata-sp01,-23.45474145698256,-47.21900615947783,31,0.2849,2015
exp-odata-sp01,-23.382605502238693,-47.20849090614058,31,0.5611,2015
exp-odata-sp01,-23.31542082363874,-47.17801441844961,31,0.5598,2015
exp-odata-sp01,-23.25775512068767,-47.12967669430725,31,0.6398,2015
exp-odata-sp01,-23.21352358177069,-47.06678007419339,31,0.5598,2015
exp-odata-sp01,-23.140273180267542,-46.91510647119537,35,0.3696,2015
exp-odata-sp01,-23.150973485193486,-46.82650544735975,35,0.2224,2015
exp-odata-sp01,-23.297374041267865,-46.61831522865964,35,0.4021,2015
exp-odata-sp01,-23.373219793738343,-46.58388939698625,35,0.6455,2015
exp-odata-sp01,-23.759047740293965,-46.826096519339615,35,0.4173,2015
exp-odata-sp01,-23.769798304410656,-46.91510647119537,35,0.7639,2015
exp-odata-sp01,-23.759047740293965,-47.00411642305113,35,0.6806,2015
exp-odata-sp01,-23.72753379645358,-47.087019085288546,35,0.4763,2015
exp-odata-sp01,-23.677418041101134,-47.15813464387742,35,0.2181,2015
exp-odata-sp01,-23.612134745279157,-47.21260597774153,35,0.392,2015
