campus_id,pais,lat,lon,n_predios,nome,operadora,municipio,uf,ano_operacional,fonte,origem_data,no_estudo_atual,tem_data,pct_veg_densa,pct_veg_rala,pct_solo_exposto,pct_construida,pct_agua,lst_campus,lst_referencia,anomalia_termica_c,frac_built_inicio,greenfield
us-0371,US,45.90329245,-119.32040905,4,Amazon Web Services,Amazon Web Services,,,2020.0,osm,derivada_dynamic_world,False,True,9.483759756483847,45.50096258915474,5.9364737649170145,36.819133853094336,2.259670036350054,30.49271930793079,29.200368331869665,1.292350976061126,0.0,True
us-0372,US,33.46278045,-111.99735815,2,QTS,Quality Technology Services,,,2023.0,osm,derivada_dynamic_world,False,True,0.0,0.3909409388408524,14.620297232895318,84.98876182826382,0.0,46.24979502385723,45.38562804632348,0.864166977533749,0.0,True
us-0373,US,40.5114517,-111.8882555,1,FiberState Datacenter,,,,,osm,,False,False,0.0,2.651545318760181,0.0,96.11429852921938,1.2341561520204372,34.13401233126425,31.496785327571292,2.63722700369296,1.0,False
us-0374,US,38.8105602,-89.9487033,1,,,,,,osm,,False,False,23.14270677235294,0.01753340285139296,0.0,76.38133746565029,0.4584223591453834,28.388716699194394,27.439509180434065,0.9492075187603284,1.0,False
us-0375,US,39.133687,-76.8514344,1,,,,,2022.0,osm,derivada_dynamic_world,False,True,45.63511906496326,5.576914916106278,0.0074801219426101585,48.74308528727481,0.03740060971305079,26.48352319132969,26.770863987748502,-0.2873407964188104,0.0,True
us-0376,US,41.7071342,-87.9759559,1,Datacenter (386),UChicago Argonne LLC,,,,osm,,False,False,69.16369879695402,1.807025165000508,0.2926775649377174,28.736598473107755,0.0,21.53013188762663,24.389310472857687,-2.8591785852310565,1.0,False
us-0377,US,41.988254725,-88.00679445,4,NTT Chicago CH1,NTT,,,2021.0,osm,derivada_dynamic_world,False,True,11.407900234080538,3.7345508306471533,1.320503488158664,78.90001548793602,4.637029959177628,29.517995242113845,28.19405178319177,1.3239434589220735,0.0,True
us-0378,US,44.8771653,-91.9199989,1,,West Wisconsin Telcom,,,,osm,,False,False,12.808944582563042,1.0401265291801045,0.0,61.953277245828616,24.197651642428244,15.539499722786294,16.186054191680814,-0.6465544688945197,1.0,False
us-0379,US,34.8479877,-86.62658830000001,5,Meta Huntsville Data center,Meta,,,,osm,,False,False,37.68385291043007,18.498037781562953,14.599681058682403,27.846659883689345,1.3717683656352366,26.644158362829362,27.207143474487868,-0.5629851116585058,,
us-0380,US,41.533389425,-93.86344705,4,Microsoft,Microsoft,,,,osm,,False,False,18.95004017010155,53.2338205644876,10.079760817571497,12.412032950618045,5.324345497221308,25.5034143084359,24.32255036297961,1.1808639454562915,0.0,True
us-0381,US,40.1522366,-75.4776181,1,Flexential Philadelphia - Collegeville,Flexential,,,,osm,,False,False,42.48094300842826,12.420805428877214,0.034396814758603726,44.77393873782768,0.2899160101082314,27.313641993721117,26.887989410816854,0.425652582904263,1.0,False
us-0382,US,39.3226289,-94.5964367,2,Meta Data Center,Meta,,,2024.0,osm,derivada_dynamic_world,False,True,20.595095012855133,49.971803076941065,8.064778322841363,19.157671167219995,2.210652420142443,26.051645691851817,25.13245086478467,0.9191948270671482,0.0,True
us-0383,US,40.2084622,-74.119242,1,,,,,,osm,,False,False,67.67325665127633,4.0752906383453915,1.8382706874044514,26.413182022973817,0.0,26.190666747495555,26.17548593089766,0.015180816597894164,0.6732,False
