site_id,tipo,pareado_com,municipio,uf,ano,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,fonte,colecao_gee,data_extracao
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,2018,24.7691,24.7959,3.1274,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,2019,25.4108,25.4072,3.8793,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,2020,25.3574,25.8298,3.3673,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,2021,24.8613,25.8622,4.1051,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,2022,24.2207,24.7706,3.204,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,2023,24.5275,25.4679,3.5042,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,2017,26.6903,27.6026,4.2416,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,2018,26.8299,26.9471,3.7553,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,2019,27.446,27.5016,4.3111,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,2020,26.9395,27.459,4.7401,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,2021,26.4704,27.6735,4.4035,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,2022,25.8109,26.4443,3.9297,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
equinix-santana-parnaiba,tratamento,equinix-santana-parnaiba,Santana de Parnaíba,SP,2023,26.196,27.0888,4.1349,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,2018,31.0073,29.9827,3.2787,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-everest-goiania-p01,controle,everest-goiania,Goiânia,GO,2019,32.8081,31.5819,4.0587,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
