site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Itapevi,SP,-23.529577,-46.928574,5.0,2022,2020,2023,2,durante,landsat,30,111492,rf_v1.0-tuned,2163.24,2566.62,95.22,5158.89,50.31,0.215585,0.255785,0.009489,0.514127,0.005014
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Itapevi,SP,-23.529577,-46.928574,5.0,2023,2020,2023,3,durante,landsat,30,110095,rf_v1.0-tuned,2431.44,2447.19,54.27,4924.08,51.57,0.245388,0.246978,0.005477,0.496953,0.005205
ascenty-osasco,tratamento,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Osasco,SP,-23.492259,-46.777232,5.0,2017,2020,2023,-3,pre,landsat,30,111886,rf_v1.0-tuned,2011.32,1538.37,75.06,6361.11,83.88,0.199739,0.152772,0.007454,0.631705,0.00833
ascenty-osasco,tratamento,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Osasco,SP,-23.492259,-46.777232,5.0,2018,2020,2023,-2,pre,landsat,30,111884,rf_v1.0-tuned,2028.42,1592.73,80.37,6292.62,75.42,0.201441,0.158173,0.007981,0.624915,0.00749
ascenty-osasco,tratamento,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Osasco,SP,-23.492259,-46.777232,5.0,2019,2020,2023,-1,pre,landsat,30,111890,rf_v1.0-tuned,2259.18,1523.52,66.24,6130.62,90.54,0.224345,0.151291,0.006578,0.608794,0.008991
ascenty-osasco,tratamento,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Osasco,SP,-23.492259,-46.777232,5.0,2020,2020,2023,0,durante,landsat,30,111688,rf_v1.0-tuned,2046.33,1557.81,94.32,6220.98,132.48,0.203576,0.154976,0.009383,0.618885,0.01318
ascenty-osasco,tratamento,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Osasco,SP,-23.492259,-46.777232,5.0,2021,2020,2023,1,durante,landsat,30,111887,rf_v1.0-tuned,1892.97,1587.51,92.88,6411.51,84.96,0.187984,0.15765,0.009224,0.636705,0.008437
ascenty-osasco,tratamento,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Osasco,SP,-23.492259,-46.777232,5.0,2022,2020,2023,2,durante,landsat,30,111824,rf_v1.0-tuned,2009.07,1516.14,88.56,6355.8,94.59,0.199626,0.150647,0.0088,0.631528,0.009399
ascenty-osasco,tratamento,ascenty-osasco,dc_363da00599;dc_f7606e1e75,2,Osasco,SP,-23.492259,-46.777232,5.0,2023,2020,2023,3,durante,landsat,30,111559,rf_v1.0-tuned,2167.2,1467.99,64.17,6233.31,107.64,0.21585,0.14621,0.006391,0.620828,0.010721
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,dc_541dfaf17f,1,Americana,SP,-22.707019,-47.303129,5.0,2016,2019,2019,-3,pre,landsat,30,111556,rf_v1.0-tuned,963.63,4725.0,83.07,3780.18,488.16,0.095979,0.470616,0.008274,0.37651,0.048621
