pareado_com,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,landsat,2017,-2,True,10493,30.8396
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,landsat,2018,-1,True,10457,29.5687
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,landsat,2019,0,True,10493,28.2093
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,landsat,2020,1,True,10493,28.1712
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,landsat,2021,2,True,10493,32.3073
ascenty-jundiai,ascenty-jundiai,tratamento,1-2km,landsat,2022,3,True,10493,31.8022
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2013,-1,False,884,12.6697
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2014,0,False,884,10.0679
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2015,1,False,884,10.6335
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2016,2,False,884,8.4842
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2017,3,False,884,8.5973
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2013,-1,False,2647,1.4734
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2014,0,False,2647,0.9067
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2015,1,False,2647,1.4734
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2016,2,False,2647,1.0578
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2017,3,False,2647,1.5111
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1-2km,landsat,2013,-1,False,10586,10.75
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1-2km,landsat,2014,0,False,10586,8.908
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1-2km,landsat,2015,1,False,10586,12.2237
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1-2km,landsat,2016,2,False,10586,12.5543
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,1-2km,landsat,2017,3,False,10586,13.8296
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2013,-1,True,855,80.117
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2014,0,True,716,81.5642
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2015,1,True,847,88.6659
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2016,2,True,866,87.8753
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2017,3,True,866,88.4527
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2013,-1,True,2642,54.4285
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2014,0,True,2642,58.2513
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2015,1,True,2642,62.0363
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2016,2,True,2642,64.383
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2017,3,True,2642,66.5026
ascenty-maracanau,ascenty-maracanau,tratamento,1-2km,landsat,2013,-1,True,10605,60.7166
ascenty-maracanau,ascenty-maracanau,tratamento,1-2km,landsat,2014,0,True,10604,62.5802
ascenty-maracanau,ascenty-maracanau,tratamento,1-2km,landsat,2015,1,True,10599,63.7136
ascenty-maracanau,ascenty-maracanau,tratamento,1-2km,landsat,2016,2,True,10605,67.4116
ascenty-maracanau,ascenty-maracanau,tratamento,1-2km,landsat,2017,3,True,10605,68.8449
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2017,-3,False,861,87.2242
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2018,-2,False,764,84.4241
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2019,-1,False,869,83.3142
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2020,0,False,781,84.8912
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2021,1,False,874,86.7277
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2022,2,False,874,86.7277
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2023,3,False,874,84.7826
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2017,-3,False,2616,73.7385
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2018,-2,False,2606,68.9179
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2019,-1,False,2616,67.737
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2020,0,False,2549,73.3229
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2021,1,False,2615,73.1931
