campus,site_id,tipo,zona,ano,t_relativo,pixels_validos,lst_media_c
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2016,-1,842,28.3185
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2017,0,842,29.2821
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2018,1,842,28.7893
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2019,2,842,28.6989
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,2020,3,842,29.6759
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2014,-3,2560,29.5721
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2015,-2,2560,28.934
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2016,-1,2560,27.4821
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2017,0,2560,28.5943
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2018,1,2560,28.5587
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2019,2,2560,27.7471
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,2020,3,2560,29.1165
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2014,-3,874,27.8527
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2015,-2,874,28.3361
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2016,-1,874,26.923
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2017,0,874,27.0856
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2018,1,874,28.0577
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2019,2,874,26.5674
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,2020,3,874,27.3969
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2014,-3,2611,27.8049
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2015,-2,2611,27.1355
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2016,-1,2611,25.8345
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2017,0,2611,26.7077
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2018,1,2611,28.0646
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2019,2,2611,26.5077
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,2020,3,2611,27.4546
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2016,-3,871,24.7779
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2017,-2,871,29.3367
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2018,-1,871,27.4377
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2019,0,866,28.5756
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2020,1,764,27.3251
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2021,2,867,26.665
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,2022,3,868,26.771
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2016,-3,2595,25.2508
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2017,-2,2595,29.4969
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2018,-1,2595,27.8002
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2019,0,2595,28.6831
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2020,1,2595,27.0184
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2021,2,2595,27.9343
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,2022,3,2595,26.9204
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2016,-3,874,27.2678
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2017,-2,874,29.5056
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2018,-1,874,26.2059
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2019,0,874,27.9737
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2020,1,874,27.7994
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2021,2,874,30.6855
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,2022,3,874,27.0184
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2016,-3,2615,27.9591
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2017,-2,2615,29.9006
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2018,-1,2615,26.5881
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2019,0,2615,28.2828
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2020,1,2615,27.8361
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2021,2,2615,30.8713
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,2022,3,2615,26.8913
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,2017,-3,738,23.2712
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,2018,-2,739,22.7411
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,2019,-1,739,23.7901
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,2020,0,739,21.6868
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,2021,1,739,23.3388
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,2022,2,696,21.4975
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,2023,3,739,22.9665
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,2017,-3,2614,24.2981
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,2018,-2,2614,23.5252
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,2019,-1,2614,24.5183
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,2020,0,2614,22.3067
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,2021,1,2614,24.4668
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,2022,2,2564,22.1776
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,2023,3,2613,23.4901
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,2017,-3,876,25.4228
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,2018,-2,876,26.5411
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,2019,-1,876,24.9874
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,2020,0,876,24.1773
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,2021,1,876,25.2028
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,2022,2,876,22.7103
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,2023,3,876,24.0553
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,2017,-3,2608,24.5437
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,2018,-2,2608,25.6412
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,2019,-1,2608,24.2658
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,2020,0,2608,24.0146
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,2021,1,2608,24.4461
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,2022,2,2608,22.179
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,2023,3,2608,22.7546
everest-goiania,everest-goiania,tratamento,0-0.5km,2018,-3,876,33.8573
everest-goiania,everest-goiania,tratamento,0-0.5km,2019,-2,876,32.1358
everest-goiania,everest-goiania,tratamento,0-0.5km,2020,-1,876,33.1916
everest-goiania,everest-goiania,tratamento,0-0.5km,2021,0,876,33.5811
everest-goiania,everest-goiania,tratamento,0-0.5km,2022,1,876,32.5162
everest-goiania,everest-goiania,tratamento,0-0.5km,2023,2,876,33.8621
everest-goiania,everest-goiania,tratamento,0-0.5km,2024,3,876,32.4968
everest-goiania,everest-goiania,tratamento,0.5-1km,2018,-3,2633,34.8521
everest-goiania,everest-goiania,tratamento,0.5-1km,2019,-2,2633,33.5796
everest-goiania,everest-goiania,tratamento,0.5-1km,2020,-1,2633,34.1557
everest-goiania,everest-goiania,tratamento,0.5-1km,2021,0,2633,34.7238
everest-goiania,everest-goiania,tratamento,0.5-1km,2022,1,2633,33.6804
everest-goiania,everest-goiania,tratamento,0.5-1km,2023,2,2633,34.4275
everest-goiania,everest-goiania,tratamento,0.5-1km,2024,3,2633,33.4077
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,2018,-3,876,31.332
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,2019,-2,876,30.5372
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,2020,-1,876,30.3156
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,2021,0,876,32.2508
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,2022,1,876,31.1693
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,2023,2,876,31.7106
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,2024,3,876,31.9878
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,2018,-3,2635,32.4524
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,2019,-2,2635,31.5164
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,2020,-1,2635,31.4418
