site_id,tipo,pareado_com,municipio,uf,codigo_ibge,ano,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,municipio_compartilhado_com_par,data_extracao
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,3556701,2018,77308.0,estimativa_intercensitaria,35386.0,39677.0,3403.0,9275194.0,False,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,3556701,2019,78728.0,estimativa_intercensitaria,36987.0,41726.0,3960.0,9665022.0,False,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,3556701,2020,80111.0,estimativa_intercensitaria,37756.0,43122.0,4239.0,10493525.0,False,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,3556701,2021,81516.0,estimativa_intercensitaria,40639.0,46359.0,4545.0,12557909.0,False,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,3556701,2022,76540.0,censo,42677.0,52342.0,6854.0,14061248.0,False,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,1301852,2020,49011.0,estimativa_intercensitaria,3739.0,4231.0,417.0,727697.0,False,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,1301852,2021,49718.0,estimativa_intercensitaria,4752.0,5283.0,411.0,1001862.0,False,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,1301852,2022,61163.0,censo,5551.0,6914.0,1215.0,1044312.0,False,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,1301852,2023,,,6457.0,7943.0,1314.0,1263496.0,False,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,1301852,2024,67114.0,estimativa_intercensitaria,6984.0,8640.0,1449.0,,False,2026-09-06
ctrl-clickip-manaus-p01,controle,clickip-manaus,Iranduba,AM,1301852,2025,68862.0,estimativa_intercensitaria,,,,,False,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,1302603,2020,2219580.0,estimativa_intercensitaria,492343.0,526003.0,27395.0,91773536.0,False,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,1302603,2021,2255903.0,estimativa_intercensitaria,519130.0,554913.0,28737.0,103281400.0,False,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,1302603,2022,2063689.0,censo,554669.0,636830.0,67347.0,113465435.0,False,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,1302603,2023,,,570748.0,658099.0,72121.0,127649795.0,False,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,1302603,2024,2279686.0,estimativa_intercensitaria,599717.0,692491.0,77108.0,,False,2026-09-06
clickip-manaus,tratamento,clickip-manaus,Manaus,AM,1302603,2025,2303732.0,estimativa_intercensitaria,,,,,False,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,3509205,2017,73921.0,estimativa_intercensitaria,36691.0,39088.0,2091.0,14807216.0,False,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,3509205,2018,75638.0,estimativa_intercensitaria,39080.0,41501.0,2166.0,16971943.0,False,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,3509205,2019,76801.0,estimativa_intercensitaria,41598.0,44191.0,2366.0,19461581.0,False,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,3509205,2020,77934.0,estimativa_intercensitaria,49602.0,52361.0,2534.0,21270946.0,False,2026-09-06
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,Cajamar,SP,3509205,2021,79034.0,estimativa_intercensitaria,52368.0,55163.0,2726.0,22713160.0,False,2026-09-06
