campus,site_id,tipo,zona,r_int,r_ext,pixels_validos,pct_virou_construida
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,0.5-1km,0.5,1.0,23618,0.292150055042764
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,1-2km,1.0,2.0,94488,0.24976716620099906
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,2-3km,2.0,3.0,157477,0.16573848879518913
exp-to-host-data-centers,ctrl-exp-to-host-data-centers-p01,controle,3-5km,3.0,5.0,503944,0.06607877065705714
exp-netwise-empresas,exp-netwise-empresas,tratamento,0-0.5km,0.0,0.5,7848,3.873598369011213
exp-netwise-empresas,exp-netwise-empresas,tratamento,0.5-1km,0.5,1.0,23556,3.5235184241806756
exp-netwise-empresas,exp-netwise-empresas,tratamento,1-2km,1.0,2.0,94168,2.4615580664344576
exp-netwise-empresas,exp-netwise-empresas,tratamento,2-3km,2.0,3.0,156984,1.5937929980125363
exp-netwise-empresas,exp-netwise-empresas,tratamento,3-5km,3.0,5.0,502293,0.4602891141226336
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,0-0.5km,0.0,0.5,7856,0.012729124236252547
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,0.5-1km,0.5,1.0,23534,0.008498342823149485
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,1-2km,1.0,2.0,94185,0.041407867494824016
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,2-3km,2.0,3.0,156952,0.02229981140730924
exp-netwise-empresas,ctrl-exp-netwise-empresas-p01,controle,3-5km,3.0,5.0,502276,0.041212401149965355
